,4. close
500,168.71
501,169.64
502,167.78
503,167.41
504,166.91
505,170.0
506,171.0
507,170.75
508,168.08
509,167.4
510,171.18
511,171.23
512,171.98
513,169.62
514,168.59
515,169.3
516,169.86
517,169.25
518,172.45
519,170.44
520,165.61
521,165.28
522,166.0
523,164.43
524,164.53
525,164.14
526,162.86
527,159.73
528,159.97
529,159.26
530,158.9
531,155.27
532,153.5
533,151.44
534,148.82
535,150.34
536,148.43
537,150.98
538,151.04
539,153.24
540,150.58
541,153.59
542,155.07
543,153.4
544,153.91
545,152.25
546,152.87
547,150.64
548,149.8
549,150.25
550,150.68
551,148.44
552,149.6
553,154.71
554,153.12
555,152.81
556,153.63
557,153.61
558,151.53
559,151.46
560,152.38
561,152.13
562,151.96
563,150.04
564,148.07
565,148.24
566,148.06
567,147.66
568,144.85
569,149.78
570,150.19
571,150.33
572,150.04
573,150.29
574,150.48
575,151.06
576,150.24
577,150.85
578,151.8
579,152.78
580,152.46
581,150.25
582,147.7
583,146.56
584,146.49
585,145.47
586,143.68
587,143.8
588,142.27
589,140.96
590,141.42
591,139.39
592,139.58
593,139.92
594,141.04
595,140.78
596,141.17
597,141.85
598,141.73
599,142.28
600,142.05
601,142.41
602,142.65
603,141.76
604,140.32
605,140.34
606,139.53
607,139.59
608,138.51
609,139.94
610,139.84
611,139.99
612,139.72
613,139.32
614,139.6
615,138.79
616,138.24
617,137.72
618,137.3
619,137.42
620,137.17
621,136.76
622,137.42
623,135.54
624,136.41
625,135.44
626,135.36
627,136.12
628,133.72
629,133.53
630,133.84
631,133.44
632,133.85
633,134.05
634,134.19
635,134.14
636,134.2
637,131.84
638,132.06
639,130.98
640,130.84
641,133.23
642,130.32
643,130.98
644,132.18
645,132.78
646,131.48
647,129.37
648,128.93
649,127.04
650,127.55
651,127.92
652,127.87
653,128.34
654,126.62
655,126.09
656,124.35
657,124.9
658,123.41
659,120.67
660,118.69
661,116.86
662,115.05
663,116.35
664,116.92
665,118.01
666,117.27
667,117.4
668,119.04
669,119.09
670,119.24
671,119.87
672,120.57
673,120.21
674,120.31
675,117.77
676,119.68
677,118.91
678,117.95
679,117.31
680,117.43
681,115.4
682,115.1
683,118.42
684,120.87
685,120.41
686,120.38
687,120.84
688,121.47
689,121.77
690,117.02
691,117.79
692,116.34
693,117.2
694,115.08
695,119.02
696,120.8
697,123.18
698,124.22
699,122.15
700,120.75
701,120.0
702,127.17
703,129.5
704,130.99
705,131.29
706,129.69
707,131.04
708,132.29
709,133.28
710,132.07
711,130.0
712,130.11
713,128.57
714,127.54
715,127.88
716,127.82
717,129.05
718,128.88
719,130.24
720,128.99
721,128.74
722,128.47
723,128.19
724,128.77
725,128.27
726,128.09
727,129.23
728,128.69
729,127.31
730,127.96
731,130.08
732,129.94
733,128.64
734,128.65
735,129.07
736,128.35
737,127.77
738,127.21
739,128.69
740,127.1
741,130.27
742,131.05
743,129.73
744,126.51
745,126.17
746,126.12
747,125.84
748,126.54
749,124.96
750,123.89
751,123.48
752,124.37
753,124.15
754,123.56
755,123.91
756,124.37
757,123.3
758,123.9
759,124.88
760,124.9
761,124.88
762,125.06
763,125.26
764,125.15
765,124.36
766,122.51
767,123.09
768,124.31
769,123.94
770,125.0
771,123.34
772,121.22
773,121.63
774,121.0
775,120.61
776,121.92
777,120.61
778,119.37
779,116.86
780,117.29
781,116.78
782,117.93
783,117.87
784,117.24
785,115.85
786,116.7
787,114.0
788,114.19
789,114.28
790,114.16
791,112.7
792,108.97
793,112.08
794,115.08
795,113.91
796,114.38
797,113.37
798,113.02
799,114.39
800,114.6
801,114.94
802,113.95
803,116.62
804,118.56
805,118.39
806,117.76
807,118.79
808,118.47
809,118.93
810,118.78
811,118.81
812,119.38
813,119.47
814,117.89
815,117.7
816,115.97
817,117.35
818,116.81
819,117.65
820,117.35
821,118.67
822,119.81
823,120.28
824,119.52
825,120.5
826,119.24
827,119.49
828,117.81
829,118.06
830,117.43
831,118.57
832,117.58
833,116.73
834,108.89
835,108.76
836,110.1
837,110.56
838,113.44
839,112.42
840,112.29
841,110.45
842,109.64
843,110.84
844,110.51
845,110.61
846,108.99
847,110.63
848,113.64
849,113.71
850,112.22
851,112.55
852,116.06
853,114.1
854,114.7
855,116.14
856,113.69
857,113.05
858,112.54
859,112.25
860,111.85
861,111.45
862,111.02
863,112.18
864,110.67
865,109.89
866,109.41
867,107.32
868,107.51
869,105.93
870,105.73
871,108.39
872,109.58
873,109.95
874,109.82
875,106.92
876,107.92
877,108.07
878,106.88
879,105.46
880,107.16
881,104.57
882,103.47
883,105.2
884,101.61
885,102.01
886,101.91
887,101.0
888,99.54
889,99.75
890,104.07
891,110.49
892,112.69
893,114.61
894,115.09
895,112.21
896,109.11
897,94.45
898,97.34
899,97.01
900,97.94
901,94.16
902,94.35
903,95.26
904,94.97
905,98.37
906,95.44
907,99.37
908,97.51
909,97.33
910,97.92
911,102.97
912,102.73
913,102.22
914,104.66
915,106.22
916,107.26
917,105.93
918,105.02
919,104.63
920,105.51
921,104.77
922,104.04
923,106.22
924,106.79
925,104.55
926,104.66
927,102.12
928,105.42
929,104.6
930,106.49
931,105.61
932,106.18
933,104.38
934,106.07
935,107.12
936,104.24
937,105.45
938,105.41
939,105.74
940,106.95
941,107.32
942,106.26
943,107.77
944,105.13
945,104.04
946,103.95
947,108.02
948,109.01
949,107.91
950,106.49
951,107.095
952,108.76
953,103.94
954,102.58
955,103.31
956,101.97
957,104.88
958,104.2
959,103.7
960,103.77
961,102.19
962,99.67
963,97.11
964,97.0
965,98.47
966,97.54
967,95.96
968,94.07
969,94.12
970,94.26
971,93.24
972,92.47
973,92.4
974,92.8
975,94.01
976,92.07
977,90.95
978,89.73
979,86.67
980,89.21
981,92.77
982,94.41
983,93.97
984,92.96
985,95.55
986,94.4
987,94.34
988,93.45
989,92.9
990,92.31
991,92.05
992,91.98
993,90.44
994,89.53
995,88.26
996,88.15
997,89.89
998,87.23
999,89.43
1000,91.01
1001,89.73
1002,87.19
1003,83.0
1004,82.09
1005,86.06
1006,90.56
1007,95.31
1008,95.17
1009,93.93
1010,94.42
1011,93.43
1012,94.19
1013,93.62
1014,94.15
1015,94.3
1016,95.12
1017,96.44
1018,94.06
1019,94.14
1020,94.01
1021,95.21
1022,96.99
1023,95.29
1024,94.17
1025,96.95
1026,95.44
1027,97.04
1028,98.39
1029,97.91
1030,94.97
1031,90.85
1032,89.76
1033,89.68
1034,90.1
1035,87.95
1036,85.88
1037,85.65
1038,87.22
1039,87.55
1040,87.285
1041,86.91
1042,85.765
1043,85.8
1044,88.01
1045,87.98
1046,88.86
1047,87.88
1048,84.74
1049,82.51
1050,82.905
1051,81.79
1052,81.06
1053,80.71
1054,81.53
1055,81.83
1056,82.16
1057,80.67
1058,80.67
1059,82.14
1060,82.05
1061,82.44
1062,80.445
1063,80.29
1064,79.19
1065,80.145
1066,80.55
1067,79.335
1068,80.54
1069,80.48
1070,80.55
1071,80.63
1072,80.88
1073,80.42
1074,81.37
1075,78.44
1076,77.46
1077,78.01
1078,78.51
1079,78.425
1080,78.1
1081,77.56
1082,78.81
1083,78.99
1084,78.77
1085,80.465
1086,80.68
1087,81.91
1088,81.53
1089,82.41
1090,84.63
1091,83.62
1092,83.09
1093,80.775
1094,82.31
1095,82.705
1096,83.515
1097,83.01
1098,82.04
1099,82.17
1100,82.275
1101,82.32
1102,82.44
1103,81.555
1104,81.665
1105,82.215
1106,83.195
1107,83.3
