,4. close
892,20.61
893,20.859
894,20.9
895,19.87
896,19.61
897,19.9
898,19.85
899,19.58
900,19.89
901,20.4
902,19.87
903,19.13
904,19.27
905,19.09
906,19.06
907,18.73
908,19.29
909,19.09
910,18.78
911,19.06
912,19.2
913,19.14
914,19.12
915,18.19
916,18.27
917,17.42
918,17.77
919,17.45
920,17.18
921,16.79
922,17.15
923,17.64
924,17.6
925,17.31
926,17.45
927,17.95
928,18.1
929,18.28
930,18.88
931,18.32
932,18.24
933,17.85
934,17.79
935,18.1
936,18.8
937,18.73
938,18.55
939,18.67
940,18.56
941,18.3
942,18.0
943,17.65
944,17.5
945,16.09
946,14.45
947,14.36
948,14.22
949,14.06
950,13.86
951,13.35
952,13.44
953,13.58
954,13.51
955,13.14
956,13.12
957,13.24
958,13.39
959,13.58
960,13.2
961,14.37
962,14.19
963,14.45
964,14.49
965,14.41
966,14.46
967,14.6
968,14.16
969,14.14
970,14.57
971,14.49
972,14.41
973,14.55
974,14.37
975,15.0
976,14.91
977,14.95
978,15.0
979,15.01
980,14.78
981,14.72
982,14.22
983,14.23
984,14.37
985,14.53
986,14.56
987,14.62
988,14.56
989,14.65
990,15.01
991,14.86
992,14.5
993,15.02
994,14.74
995,15.0
996,14.77
997,14.85
998,15.27
999,14.67
1000,14.54
1001,14.39
1002,14.35
1003,14.35
1004,14.15
1005,14.43
1006,14.45
1007,14.6
1008,14.66
1009,14.36
1010,14.32
1011,14.58
1012,14.58
1013,14.13
1014,13.8
1015,14.17
1016,13.88
1017,14.02
1018,14.1
1019,14.62
1020,14.43
1021,14.61
1022,14.63
1023,14.72
1024,14.68
1025,14.55
1026,14.85
1027,14.9
1028,14.9
1029,14.8
1030,14.33
1031,14.07
1032,14.06
1033,14.4
1034,14.36
1035,14.49
1036,14.14
1037,14.2
1038,14.57
1039,15.08
1040,14.85
1041,14.79
1042,15.19
1043,15.49
1044,15.28
1045,14.75
1046,14.95
1047,14.63
1048,14.97
1049,15.16
1050,15.18
1051,15.5
1052,15.72
1053,15.41
1054,15.97
1055,16.01
1056,16.35
1057,15.53
1058,15.27
1059,15.65
1060,15.95
1061,16.3
1062,15.59
1063,15.64
1064,15.16
1065,15.84
1066,16.0
1067,17.22
1068,16.9
1069,16.89
1070,16.36
1071,16.07
1072,15.98
1073,15.44
1074,15.61
1075,15.42
1076,14.69
1077,14.88
1078,14.7
1079,14.56
1080,14.34
1081,14.11
1082,14.56
1083,15.16
1084,14.77
1085,14.51
1086,14.12
1087,13.6
1088,13.69
1089,13.77
1090,14.03
1091,14.3
1092,14.17
1093,14.51
1094,14.5
1095,14.72
1096,14.7
1097,14.93
1098,14.64
1099,14.85
1100,14.87
1101,14.58
1102,15.02
1103,14.8
1104,14.5
1105,14.17
1106,14.14
1107,14.29
1108,14.33
1109,14.37
1110,14.38
1111,14.18
1112,14.48
1113,14.05
1114,14.75
1115,14.7
1116,14.7
1117,14.85
